mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_splitter,param_random_state,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,param_class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,mean_test_score,std_test_score,rank_test_score
0.21362115442752838,0.03039595319958572,1.7551841586828232,0.3085200074808367,best,27,0.6,0.30000000000000004,119,50,gini,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.6, 'min_samples_leaf': 0.30000000000000004, 'max_features': 119, 'max_depth': 50, 'criterion': 'gini', 'class_weight': 'balanced'}",0.6539376321353064,0.6553911205073996,0.5983636462808739,0.6537523389468056,0.5589323467230444,0.6542019027484144,0.6116543340380549,0.6312103594080338,0.6247302968237409,0.6389009342516925,0.6223094836209052,0.6580338266384779,0.6416490486257928,0.6492247530044875,0.5953582502768549,0.6892177589852008,0.6335542520634428,0.0303305965621533,1511
0.18430973589420319,0.033969705468950784,1.6691050827503204,0.34418576827976305,best,27,0.1,0.30000000000000004,42,5,entropy,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.1, 'min_samples_leaf': 0.30000000000000004, 'max_features': 42, 'max_depth': 5, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.6539376321353064,0.6553911205073996,0.5983636462808739,0.6640353515102914,0.5589323467230444,0.6658298097251585,0.6116543340380549,0.6312103594080338,0.623437752915591,0.6517070703488591,0.6250267112232604,0.6580338266384779,0.645745243128964,0.6492247530044875,0.5953582502768549,0.6860465116279069,0.6358709199682853,0.0314061799295375,803
0.027022913098335266,0.010234416164753927,1.373326227068901,0.3033937361902442,random,27,0.1,0.2,42,50,gini,balanced,"{'splitter': 'random', 'random_state': 27, 'min_samples_split': 0.1, 'min_samples_leaf': 0.2, 'max_features': 42, 'max_depth': 50, 'criterion': 'gini', 'class_weight': 'balanced'}",0.6631561343816067,0.6057103098572938,0.6061253522392098,0.6775678294573644,0.5366964521670191,0.6865255021141649,0.5324970269556025,0.6594563457980972,0.5896409880715994,0.6718588825743573,0.6166613690760352,0.6755087209302325,0.6766339356501058,0.6336091548659791,0.5457518687707641,0.677474233615222,0.6284296316577909,0.05239693941162901,2215
0.018918737769126892,0.0038060129736362173,1.2681865692138672,0.4304365704532616,random,27,0.6,0.5,105,5,entropy,balanced,"{'splitter': 'random', 'random_state': 27, 'min_samples_split': 0.6, 'min_samples_leaf': 0.5, 'max_features': 105, 'max_depth': 5, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,4173
0.026552170515060425,0.015578989687768047,1.5050151646137238,0.39421646834811414,best,27,0.5,0.5,63,40,entropy,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.5, 'min_samples_leaf': 0.5, 'max_features': 63, 'max_depth': 40, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.5,0.5,0.6050369525091952,0.5,0.5,0.5,0.5,0.5,0.5135329473390676,0.6196235401555041,0.5,0.5,0.5,0.5,0.5,0.5,0.5148870900002355,0.03706386906125245,3858
0.5062725394964218,0.0917719830603792,1.1816734820604324,0.3159378637521719,best,27,0.6,0.1,105,30,entropy,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.6, 'min_samples_leaf': 0.1, 'max_features': 105, 'max_depth': 30, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.6539376321353064,0.6553911205073996,0.5983636462808739,0.6537523389468056,0.5589323467230444,0.6542019027484144,0.6116543340380549,0.6312103594080338,0.623437752915591,0.6389009342516925,0.6223094836209052,0.6580338266384779,0.645745243128964,0.6492247530044875,0.5788374861572535,0.6860465116279069,0.6324987295083258,0.031623638794859694,1841
0.3417537063360214,0.0649741287125723,1.447415143251419,0.31639131781050284,best,27,0.6,0.1,63,30,entropy,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.6, 'min_samples_leaf': 0.1, 'max_features': 63, 'max_depth': 30, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.6539376321353064,0.6553911205073996,0.5983636462808739,0.6640353515102914,0.5589323467230444,0.6658298097251585,0.6116543340380549,0.6312103594080338,0.623437752915591,0.6517070703488591,0.6250267112232604,0.6580338266384779,0.645745243128964,0.6492247530044875,0.5953582502768549,0.6860465116279069,0.6358709199682853,0.0314061799295375,803
0.064247265458107,0.011452491688786426,1.3735841810703278,0.37733429260940243,best,27,0.1,0.2,35,30,gini,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.1, 'min_samples_leaf': 0.2, 'max_features': 35, 'max_depth': 30, 'criterion': 'gini', 'class_weight': 'balanced'}",0.6661002741807611,0.680403921115222,0.6192442637446063,0.6791904738037959,0.5825412096987315,0.6975195725422833,0.6064081494450317,0.6751019919397464,0.6360142986956168,0.6785596920239887,0.6377174244859917,0.6868764865221988,0.6941748975951374,0.6690564395043178,0.6083651716500554,0.7203851744186046,0.6586037150853805,0.03763350007760869,415
0.06345297396183014,0.013068080041257653,1.4760247021913528,0.41333753841162857,best,27,1.0,0.2,14,15,entropy,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 1.0, 'min_samples_leaf': 0.2, 'max_features': 14, 'max_depth': 15, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.5935187632135306,0.5425806025369978,0.5350029347297831,0.5778952820101578,0.546181289640592,0.602536997885835,0.5307544926004227,0.5680166490486257,0.5241402172049112,0.5569964184610481,0.5660241764986701,0.5183337737843552,0.594377642706131,0.5727438120704215,0.5886618217054264,0.5808668076109936,0.5624144801067439,0.026061396919165765,3386
0.03207145631313324,0.004974948435213799,1.2780811339616776,0.3357118395518679,best,27,0.9,0.30000000000000004,21,45,gini,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.9, 'min_samples_leaf': 0.30000000000000004, 'max_features': 21, 'max_depth': 45, 'criterion': 'gini', 'class_weight': 'balanced'}",0.6539376321353064,0.6553911205073996,0.5983636462808739,0.6589147286821705,0.5589323467230444,0.6593551797040169,0.6116543340380549,0.6312103594080338,0.623437752915591,0.6354940941055326,0.6250267112232604,0.6580338266384779,0.6416490486257928,0.6492247530044875,0.5953582502768549,0.6860465116279069,0.6338768934935504,0.030408625510018876,1192
