mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_splitter,param_random_state,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,param_class_weight,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.005615949630737305,9.655952453613281e-05,0.06628501415252686,0.0014325380325317383,random,27,0.1,0.30000000000000004,63,20,gini,balanced,"{'splitter': 'random', 'random_state': 27, 'min_samples_split': 0.1, 'min_samples_leaf': 0.30000000000000004, 'max_features': 63, 'max_depth': 20, 'criterion': 'gini', 'class_weight': 'balanced'}",0.5499162296037294,0.4947916666666666,0.522353948135198,0.02756228146853143,2223
0.006435513496398926,0.0010901689529418945,0.06458330154418945,0.0003879070281982422,random,27,0.7000000000000001,0.5,105,20,gini,balanced,"{'splitter': 'random', 'random_state': 27, 'min_samples_split': 0.7000000000000001, 'min_samples_leaf': 0.5, 'max_features': 105, 'max_depth': 20, 'criterion': 'gini', 'class_weight': 'balanced'}",0.5071113782051282,0.5,0.5035556891025641,0.003555689102564097,3798
0.005537152290344238,0.00012862682342529297,0.06491339206695557,0.0009101629257202148,random,27,0.30000000000000004,0.30000000000000004,105,15,entropy,balanced,"{'splitter': 'random', 'random_state': 27, 'min_samples_split': 0.30000000000000004, 'min_samples_leaf': 0.30000000000000004, 'max_features': 105, 'max_depth': 15, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.4835300116550116,0.5460069444444443,0.5147684780497279,0.031238466394716363,2668
0.005779862403869629,0.00018608570098876953,0.0735788345336914,0.003744363784790039,random,27,0.7000000000000001,0.1,14,50,entropy,balanced,"{'splitter': 'random', 'random_state': 27, 'min_samples_split': 0.7000000000000001, 'min_samples_leaf': 0.1, 'max_features': 14, 'max_depth': 50, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.5406504953379954,0.5237901475694443,0.5322203214537198,0.008430173884275527,1697
0.0055457353591918945,2.4437904357910156e-05,0.06848609447479248,0.0036727190017700195,random,27,0.30000000000000004,0.4,14,35,gini,balanced,"{'splitter': 'random', 'random_state': 27, 'min_samples_split': 0.30000000000000004, 'min_samples_leaf': 0.4, 'max_features': 14, 'max_depth': 35, 'criterion': 'gini', 'class_weight': 'balanced'}",0.5,0.5,0.5,0.0,4171
0.005666613578796387,9.417533874511719e-06,0.07155346870422363,0.006663799285888672,random,27,0.1,0.4,119,40,gini,balanced,"{'splitter': 'random', 'random_state': 27, 'min_samples_split': 0.1, 'min_samples_leaf': 0.4, 'max_features': 119, 'max_depth': 40, 'criterion': 'gini', 'class_weight': 'balanced'}",0.4835300116550116,0.5460069444444443,0.5147684780497279,0.031238466394716363,2668
0.006476163864135742,7.82012939453125e-05,0.07180774211883545,0.006800055503845215,best,27,0.8,0.30000000000000004,77,20,gini,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.8, 'min_samples_leaf': 0.30000000000000004, 'max_features': 77, 'max_depth': 20, 'criterion': 'gini', 'class_weight': 'balanced'}",0.4949755973193473,0.5208333333333333,0.5079044653263403,0.012928868006992972,3071
0.0071201324462890625,0.00021219253540039062,0.07107889652252197,0.007530093193054199,best,27,0.5,0.4,119,45,gini,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.5, 'min_samples_leaf': 0.4, 'max_features': 119, 'max_depth': 45, 'criterion': 'gini', 'class_weight': 'balanced'}",0.4949755973193473,0.5208333333333333,0.5079044653263403,0.012928868006992972,3071
0.0063555240631103516,0.0006053447723388672,0.07899904251098633,0.007012128829956055,random,27,0.4,0.2,63,50,entropy,balanced,"{'splitter': 'random', 'random_state': 27, 'min_samples_split': 0.4, 'min_samples_leaf': 0.2, 'max_features': 63, 'max_depth': 50, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.5267646416083915,0.4954427083333333,0.5111036749708624,0.01566096663752911,3023
0.012282609939575195,0.0013103485107421875,0.07491040229797363,0.002178668975830078,best,27,0.9,0.1,119,30,entropy,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.9, 'min_samples_leaf': 0.1, 'max_features': 119, 'max_depth': 30, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.4949755973193473,0.5208333333333333,0.5079044653263403,0.012928868006992972,3071
