mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_metric,param_n_jobs,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.009450912475585938,2.7418136596679688e-05,0.3377035856246948,0.0094681978225708,ball_tree,10,manhattan,-1,39,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 39, 'weights': 'uniform'}",0.5592457022144522,0.5995279947916666,0.5793868485030594,0.020141146288607192,307
0.015560626983642578,0.0009529590606689453,0.4054466485977173,0.044443488121032715,ball_tree,10,manhattan,-1,41,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 41, 'weights': 'uniform'}",0.5640351835664336,0.6012641059027778,0.5826496447346057,0.018614461168172114,262
0.005418896675109863,0.0006784200668334961,0.37390685081481934,0.04915118217468262,ball_tree,10,manhattan,-1,43,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 43, 'weights': 'uniform'}",0.5602828161421911,0.6011013454861112,0.5806920808141511,0.020409264671960026,289
0.01064300537109375,0.0025243759155273438,0.33952879905700684,0.010090827941894531,ball_tree,10,manhattan,-1,45,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 45, 'weights': 'uniform'}",0.5656386582167832,0.6028917100694444,0.5842651841431138,0.018626525926330628,226
0.01339864730834961,0.003098011016845703,0.3706982135772705,0.01358938217163086,ball_tree,10,manhattan,-1,47,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 47, 'weights': 'uniform'}",0.5681117060023311,0.588894314236111,0.578503010119221,0.010391304116889988,325
0.010180830955505371,0.003107905387878418,0.3704543113708496,0.01823258399963379,ball_tree,10,manhattan,-1,49,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 49, 'weights': 'uniform'}",0.5647199155011656,0.5815972222222222,0.5731585688616939,0.008438653360528292,406
0.01140439510345459,0.004422307014465332,0.4028085470199585,0.015199780464172363,ball_tree,10,manhattan,-1,51,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 51, 'weights': 'uniform'}",0.5802365603146854,0.5708007812499999,0.5755186707823426,0.004717889532342756,370
0.012505769729614258,0.005528450012207031,0.4196033477783203,0.04607748985290527,ball_tree,10,manhattan,-1,53,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 53, 'weights': 'uniform'}",0.5806162587412588,0.5594346788194443,0.5700254687803515,0.010590789960907232,442
0.01677393913269043,0.000980377197265625,0.4159512519836426,0.048526763916015625,ball_tree,10,manhattan,-1,55,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 55, 'weights': 'uniform'}",0.5782816142191143,0.5626627604166666,0.5704721873178904,0.007809426901223826,424
0.019040822982788086,0.0037314891815185547,0.4327939748764038,0.02044498920440674,ball_tree,10,manhattan,-1,57,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 57, 'weights': 'uniform'}",0.5865794361888111,0.568115234375,0.5773473352819056,0.009232100906905572,361
