mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_class_weight,param_l1_ratio,param_loss,param_max_iter,param_n_iter_no_change,param_penalty,param_random_state,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.21623635292053223,0.020616531372070312,0.07092010974884033,0.0018314123153686523,0.0001,balanced,0.2,log,2500,50,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.2, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 50, 'penalty': 'elasticnet', 'random_state': 27}",0.6092475233100232,0.5785047743055556,0.5938761488077894,0.015371374502233803,574
0.34156811237335205,0.002696394920349121,0.06833028793334961,0.0019683837890625,0.0001,balanced,0.2,log,2500,100,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.2, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 100, 'penalty': 'elasticnet', 'random_state': 27}",0.6075174825174826,0.5779622395833334,0.592739861050408,0.01477762146707462,613
0.5472235679626465,0.038031578063964844,0.08572244644165039,0.0014028549194335938,0.0001,balanced,0.2,log,2500,150,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.2, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 150, 'penalty': 'elasticnet', 'random_state': 27}",0.6050244026806527,0.5762803819444444,0.5906523923125486,0.014372010368104149,679
0.2144029140472412,0.0276949405670166,0.11500918865203857,0.04898345470428467,0.0001,balanced,0.25,log,2500,20,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.25, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 20, 'penalty': 'elasticnet', 'random_state': 27}",0.6032360868298368,0.5697699652777777,0.5865030260538072,0.01673306077602954,744
0.20567023754119873,0.001350998878479004,0.0698174238204956,0.004227757453918457,0.0001,balanced,0.25,log,2500,50,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.25, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 50, 'penalty': 'elasticnet', 'random_state': 27}",0.5994718822843822,0.5743815104166666,0.5869266963505244,0.012545185933857783,742
0.32955634593963623,0.016240477561950684,0.08203601837158203,0.009972810745239258,0.0001,balanced,0.25,log,2500,100,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.25, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 100, 'penalty': 'elasticnet', 'random_state': 27}",0.5992406031468531,0.5788302951388888,0.589035449142871,0.010205154003982142,710
0.4993457794189453,0.04673409461975098,0.08571827411651611,0.011246085166931152,0.0001,balanced,0.25,log,2500,150,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.25, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 150, 'penalty': 'elasticnet', 'random_state': 27}",0.599943546037296,0.5796983506944443,0.5898209483658702,0.01012259767142587,695
0.15432918071746826,0.02386486530303955,0.0747523307800293,0.0003247261047363281,0.0001,balanced,0.3,log,2500,20,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.3, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 20, 'penalty': 'elasticnet', 'random_state': 27}",0.6051209207459207,0.5693901909722222,0.5872555558590715,0.017865364886849255,738
0.20186161994934082,0.004736185073852539,0.09219300746917725,0.02067887783050537,0.0001,balanced,0.3,log,2500,50,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.3, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 50, 'penalty': 'elasticnet', 'random_state': 27}",0.6030667249417249,0.5701497395833334,0.5866082322625291,0.016458492679195746,743
0.3459576368331909,0.0004540681838989258,0.07804536819458008,0.00672149658203125,0.0001,balanced,0.3,log,2500,100,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.3, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 100, 'penalty': 'elasticnet', 'random_state': 27}",0.6037496357808857,0.5735677083333334,0.5886586720571095,0.015090963723776163,715
