mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_metric,param_n_jobs,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,mean_test_score,std_test_score,rank_test_score
0.9228119999170303,1.0646883322641136,9.309443905949593,1.2345318977249027,ball_tree,10,manhattan,-1,44,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 44, 'weights': 'uniform'}",0.6880853181157506,0.6754447178911206,0.6587277846098052,0.6492023564889068,0.6129911717098309,0.6917128452034884,0.6401625264270613,0.696980708245243,0.6265627128497548,0.6587734288443745,0.6445032422878446,0.6615839306950317,0.6949976463398521,0.6677081353015486,0.656016265227021,0.6765286403276956,0.6624988394102707,0.0236613994374189,442
2.51472370326519,1.7978962357325274,7.415215283632278,1.8895359056426482,ball_tree,10,manhattan,-1,197,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 197, 'weights': 'uniform'}",0.7457386363636362,0.7276010009249472,0.7114920647723184,0.7050494102512698,0.6540398305364693,0.7610539442389006,0.68603515625,0.7366698186442918,0.6585425721545646,0.7015349949100973,0.681141891601147,0.7227625776294926,0.7698997836284355,0.7374833794962836,0.7088406007751937,0.7645720467758986,0.717028606809559,0.03435564674658014,355
0.7801815271377563,0.6714980681485756,8.826911598443985,1.169295961165456,ball_tree,10,manhattan,-1,351,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 351, 'weights': 'uniform'}",0.7458521901427061,0.7357438391913319,0.7091599925331699,0.7136768870288694,0.6629218006738902,0.7724671313424948,0.6882649395480973,0.7490058882795982,0.6707541482163493,0.7136337538444777,0.6937904524832507,0.7402095996300211,0.7811591569767442,0.7437279615488147,0.7228621262458472,0.7751635174418605,0.7261495865704701,0.03468024003719444,199
1.9437933266162872,1.2472271357593583,8.18943004310131,1.5426072754372013,ball_tree,10,manhattan,-1,504,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 504, 'weights': 'uniform'}",0.752443470864165,0.7409724745639535,0.7073170369188165,0.7178509673215719,0.6718873876849895,0.7775099514402749,0.6941800591305497,0.7519520926929175,0.6720536535635359,0.7193917687524259,0.6966689775122352,0.7462640806686046,0.7844635719476745,0.7483927695337137,0.7208497023809524,0.7851727669133194,0.7304606707431063,0.03532013099490456,137
1.646583154797554,1.1146700436034782,8.721689283847809,1.2373216660029147,ball_tree,10,manhattan,-1,658,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 658, 'weights': 'uniform'}",0.7551161139006343,0.7505533165961944,0.7072055268588806,0.7157730636861803,0.6727318148784355,0.7781004310914377,0.6982432198070826,0.7579797337473574,0.6701707696086211,0.7240360684148462,0.6930171260347555,0.753212539640592,0.7885711218287527,0.7505638317224348,0.722186219545958,0.7836532108879491,0.7325696317656321,0.03654542433327071,117
1.0977263450622559,1.3537111594447118,9.568480521440506,1.2599488051152212,ball_tree,10,manhattan,-1,811,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 811, 'weights': 'uniform'}",0.7554247737182874,0.7514782637420719,0.7085625918531282,0.7180676331529003,0.6775464951109937,0.7793897826374208,0.6986530457188161,0.7563992716041227,0.6711464728842436,0.7291535467045789,0.6913594774505314,0.755014947806554,0.7901980377906976,0.7541011796434682,0.7227760589700997,0.7842602074524313,0.7339707366400217,0.036324924690127366,86
1.5622956901788712,1.3290844457421593,8.303704276680946,1.1082399597672505,ball_tree,10,manhattan,-1,965,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 965, 'weights': 'uniform'}",0.7606977982954546,0.7568534867204018,0.7091659962019131,0.7238058841218927,0.6800560336284356,0.7818363504228328,0.6933211796379493,0.7571270480972515,0.6716647645410941,0.7274840103222825,0.6964048692773842,0.7603437169661735,0.7881623282241014,0.7579056061118994,0.7237630121816169,0.788216008192389,0.736050505808942,0.03696371176701747,37
0.7342822253704071,0.5456453080387147,9.19028590619564,0.6560233904566212,ball_tree,10,manhattan,-1,1118,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 1118, 'weights': 'uniform'}",0.7593527021670189,0.7592195345533826,0.7088280808221662,0.72514973436247,0.679534718551797,0.7867232921511628,0.6967164376321353,0.7582739412658562,0.6696079748242314,0.7278305050693253,0.6960453993368472,0.7592856022066595,0.7886939663715645,0.7569946853935439,0.7230113164451828,0.7897644688160678,0.7365645224980881,0.03760479609506332,17
1.2142606675624847,0.634751492349651,8.334931626915932,1.439184498362497,ball_tree,10,manhattan,-1,1272,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 1272, 'weights': 'uniform'}",0.7585475026427061,0.7618374653144822,0.7093661640801067,0.7231637179230154,0.6799445444635307,0.7896116873678648,0.6962446732954546,0.7576493954809725,0.6716939825521299,0.7295356236269052,0.6955499934236806,0.7619613421643764,0.7875532670454546,0.7556509639960036,0.7244894102990034,0.7879187037526428,0.7369199023392705,0.037467783933421414,5
1.1939597427845001,1.2948149523577603,10.286410450935364,1.6026001162838786,ball_tree,10,manhattan,-1,1425,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 1425, 'weights': 'uniform'}",0.7590430100422835,0.7627778970665963,0.7075950662202164,0.7223351669005614,0.6806041886892178,0.7904891483879493,0.6921990618393234,0.7587580932875265,0.6736676256424559,0.7276578686811372,0.6968270375223675,0.7637462011099367,0.7852522545586681,0.755036713705797,0.7218002145625693,0.782356633192389,0.7362591363380622,0.03717592205372263,25
