start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0 days 00:00:00.360000,0 days 00:00:00.380000,2.8458557,-4.9090414,19.879845,0.035095412,-0.017348735,2.3943367,30.56865,-25.196718,-11.417961,-10.0182085,33.990894,0.0145708015,1.0089655,-4.536777,-1.94815,12.344624,515.784,1445.4855,0.06637335,1530.7988,984.1098,2.0963771,2696.9143,723.56836,-14.1837435
0 days 00:00:00.370000,0 days 00:00:00.390000,2.969846,-2.7704265,19.99006,0.03402633,-0.007998384,2.644797,30.43897,-27.63027,-16.01419,-15.684575,35.35033,0.21209216,1.9521203,-4.5462794,-2.8369176,11.250924,549.938,1620.524,-2.219773,1493.7802,1085.4957,-0.19061725,2724.0564,725.47955,-15.3559
0 days 00:00:00.380000,0 days 00:00:00.400000,2.9092257,-1.1608214,19.071829,0.040742744,-0.0018426351,2.8106992,26.95333,-25.55036,-20.008356,-20.433004,36.564022,0.40961352,2.895275,-2.2560842,-2.727649,10.085629,535.8455,1703.1888,-4.938162,1469.7529,1262.1157,-3.7288735,2431.6765,1455.1725,-16.908995
0 days 00:00:00.390000,0 days 00:00:00.410000,2.459819,-1.6426702,17.02786,0.039564718,0.00082508713,2.5169554,23.665426,-20.251497,-18.97441,-22.549044,37.404682,0.41394094,3.6079,1.2123572,-1.6351881,10.103642,632.1973,1827.2289,-6.554458,1522.4176,1334.1465,-6.7712617,2430.5903,1440.598,-18.682245
0 days 00:00:00.400000,0 days 00:00:00.420000,1.7479581,-3.404152,17.523813,0.022458227,0.003058579,1.9355131,21.632828,-13.815656,-11.87234,-17.37751,37.502617,0.317344,3.4926348,3.1978662,-0.96284914,9.588127,528.9911,1615.3018,-73.1148,1485.2578,1406.9135,-72.58729,2298.7112,1712.6149,-79.64582
0 days 00:00:00.410000,0 days 00:00:00.430000,0.9858832,-7.544705,18.917315,-0.0029360026,0.006539495,1.2821074,20.064035,-2.2295558,-1.2411906,-8.308039,0.0,0.0,0.0,0.0,0.0,0.0,502.23764,1522.8701,-137.19147,1397.7701,1241.871,-136.99895,2472.5823,986.87665,-140.68855
0 days 00:00:00.420000,0 days 00:00:00.440000,0.44974175,-12.519551,25.165352,-0.021344213,0.009464671,0.62839186,19.655893,6.005674,2.759085,2.1277905,0.0,0.0,0.0,0.0,0.0,0.0,572.6099,1492.4523,-201.0,1519.2137,1467.7865,-201.0,2524.179,1126.2314,-201.0
0 days 00:00:00.430000,0 days 00:00:00.450000,0.1455531,-18.257986,31.891008,-0.036992315,0.010145131,0.2932085,19.107183,11.719525,2.6940937,5.4559617,0.0,0.0,0.0,0.0,0.0,0.0,716.8306,1421.2672,-201.0,1742.0033,1383.9381,-201.0,2742.4949,959.2985,-201.0
0 days 00:00:00.440000,0 days 00:00:00.460000,0.06677465,-23.096085,37.95996,-0.046645056,0.004982493,0.083037965,18.419504,11.522342,0.46252537,3.90885,0.0,0.0,0.0,0.0,0.0,0.0,959.5124,1463.9111,-201.0,1901.6046,1818.6279,-201.0,2864.39,960.87646,-201.0
0 days 00:00:00.450000,0 days 00:00:00.470000,0.05340561,-24.563856,37.717678,-0.0523238,0.0078186095,0.043615818,15.484113,15.3207445,7.3164687,3.631419,0.0,0.0,0.0,0.0,0.0,0.0,1006.0015,1414.2695,-201.0,1916.3926,1586.2562,-201.0,2875.0413,871.23267,-201.0
